"ts_id","tutor_id","tutoring_subject","is_linked","is_qualified"
0,0,"ACT English",0,0
39000,0,"Calculus",0,0
53625,0,"Elementary (K-6th)",0,0
58500,0,"Elementary Math",0,1
19500,0,"Algebra 1",0,0
87750,0,"Geometry",0,0
224250,0,"Trigonometry",0,1
112125,0,"Microsoft Excel",0,1
9750,0,"ACT Reading",0,0
136500,0,"Physics",0,0
141375,0,"Prealgebra",0,0
146250,0,"Precalculus",0,0
4875,0,"ACT Math",0,0
175500,0,"SAT Math",0,0
180375,0,"SAT Reading",0,1
185250,0,"SAT Writing",0,1
24375,0,"Algebra 2",0,0
195001,1,"Spanish",0,0
126752,2,"PSAT",0,0
34127,2,"Biology",0,0
4877,2,"ACT Math",0,0
9752,2,"ACT Reading",0,0
43877,2,"Chemistry",0,0
29252,2,"American History",0,1
136502,2,"Physics",0,0
2,2,"ACT English",0,0
185252,2,"SAT Writing",0,1
107252,2,"Literature",0,0
180377,2,"SAT Reading",0,1
175502,2,"SAT Math",0,1
107253,3,"Literature",0,0
214503,3,"Study Skills",0,0
68253,3,"English",0,0
53628,3,"Elementary (K-6th)",0,0
97503,3,"Grammar",0,0
165753,3,"Reading",0,0
156003,3,"Proofreading",0,1
238878,3,"Writing",0,0
48753,3,"ESL/ESOL",0,0
229128,3,"Vocabulary",0,1
185254,4,"SAT Writing",0,1
238879,4,"Writing",0,0
234004,4,"World History",0,1
229129,4,"Vocabulary",0,1
165754,4,"Reading",0,0
68254,4,"English",0,0
73129,4,"European History",0,0
48754,4,"ESL/ESOL",0,0
156004,4,"Proofreading",0,0
195004,4,"Spanish",0,1
107254,4,"Literature",0,0
29254,4,"American History",0,0
97504,4,"Grammar",0,0
170630,5,"Regents",0,0
34130,5,"Biology",0,0
136505,5,"Physics",0,1
43880,5,"Chemistry",0,0
58506,6,"Elementary Math",0,0
97506,6,"Grammar",0,0
238881,6,"Writing",0,0
156006,6,"Proofreading",0,0
107257,7,"Literature",0,0
234007,7,"World History",0,0
97507,7,"Grammar",0,1
121883,8,"Microsoft Word",0,1
160883,8,"Public Speaking",0,0
229133,8,"Vocabulary",0,0
48758,8,"ESL/ESOL",0,0
131633,8,"Phonics",0,0
214508,8,"Study Skills",0,0
219383,8,"TOEFL",0,1
29258,8,"American History",0,1
107258,8,"Literature",0,0
180383,8,"SAT Reading",0,0
238883,8,"Writing",0,0
156008,8,"Proofreading",0,0
185258,8,"SAT Writing",0,0
97508,8,"Grammar",0,0
68258,8,"English",0,0
107259,9,"Literature",0,0
9,9,"ACT English",0,0
238884,9,"Writing",0,1
170634,9,"Regents",0,0
204759,9,"Spelling",0,0
175509,9,"SAT Math",0,0
185259,9,"SAT Writing",0,0
165759,9,"Reading",0,0
141384,9,"Prealgebra",0,0
156009,9,"Proofreading",0,1
9759,9,"ACT Reading",0,0
87759,9,"Geometry",0,0
126759,9,"PSAT",0,0
97509,9,"Grammar",0,0
19509,9,"Algebra 1",0,0
4884,9,"ACT Math",0,0
78009,9,"GED",0,0
224259,9,"Trigonometry",0,1
146259,9,"Precalculus",0,0
151134,9,"Probability",0,0
24384,9,"Algebra 2",0,0
180384,9,"SAT Reading",0,0
229134,9,"Vocabulary",0,1
68259,9,"English",0,0
224260,10,"Trigonometry",0,0
24385,10,"Algebra 2",0,0
165760,10,"Reading",0,0
126760,10,"PSAT",0,0
136510,10,"Physics",0,0
131635,10,"Phonics",0,0
180385,10,"SAT Reading",0,0
175510,10,"SAT Math",0,0
4885,10,"ACT Math",0,0
87760,10,"Geometry",0,0
68260,10,"English",0,0
160885,10,"Public Speaking",0,0
19510,10,"Algebra 1",0,0
107260,10,"Literature",0,0
34135,10,"Biology",0,0
48760,10,"ESL/ESOL",0,0
97510,10,"Grammar",0,0
214510,10,"Study Skills",0,0
146260,10,"Precalculus",0,0
39010,10,"Calculus",0,0
199885,10,"Special Needs",0,0
156010,10,"Proofreading",0,0
219385,10,"TOEFL",0,0
43885,10,"Chemistry",0,0
238885,10,"Writing",0,1
229135,10,"Vocabulary",0,0
185260,10,"SAT Writing",0,0
53635,10,"Elementary (K-6th)",0,0
9760,10,"ACT Reading",0,0
141385,10,"Prealgebra",0,0
170635,10,"Regents",0,0
121885,10,"Microsoft Word",0,0
29260,10,"American History",0,0
185261,11,"SAT Writing",0,0
175511,11,"SAT Math",0,0
126761,11,"PSAT",0,0
97511,11,"Grammar",0,0
112136,11,"Microsoft Excel",0,1
180386,11,"SAT Reading",0,0
107261,11,"Literature",0,0
78011,11,"GED",0,0
14636,11,"ADD/ADHD",0,0
229136,11,"Vocabulary",0,1
87761,11,"Geometry",0,0
219386,11,"TOEFL",0,1
9761,11,"ACT Reading",0,0
224261,11,"Trigonometry",0,1
204761,11,"Spelling",0,0
48761,11,"ESL/ESOL",0,0
165761,11,"Reading",0,0
146261,11,"Precalculus",0,0
4886,11,"ACT Math",0,0
19511,11,"Algebra 1",0,0
170636,11,"Regents",0,0
63386,11,"Elementary Science",0,0
209636,11,"Statistics",0,1
151136,11,"Probability",0,0
141386,11,"Prealgebra",0,0
68261,11,"English",0,0
11,11,"ACT English",0,0
39011,11,"Calculus",0,0
238886,11,"Writing",0,1
24386,11,"Algebra 2",0,0
58511,11,"Elementary Math",0,0
156011,11,"Proofreading",0,0
170637,12,"Regents",0,0
19512,12,"Algebra 1",0,0
87762,12,"Geometry",0,0
34137,12,"Biology",0,0
175512,12,"SAT Math",0,1
180387,12,"SAT Reading",0,1
97513,13,"Grammar",0,1
156013,13,"Proofreading",0,1
141388,13,"Prealgebra",0,0
185263,13,"SAT Writing",0,0
146263,13,"Precalculus",0,0
58513,13,"Elementary Math",0,0
175513,13,"SAT Math",0,0
9763,13,"ACT Reading",0,0
4888,13,"ACT Math",0,0
13,13,"ACT English",0,0
126763,13,"PSAT",0,0
180388,13,"SAT Reading",0,0
19513,13,"Algebra 1",0,0
24388,13,"Algebra 2",0,0
234014,14,"World History",0,1
112139,14,"Microsoft Excel",0,0
92639,14,"Government & Politics",0,0
107264,14,"Literature",0,0
121889,14,"Microsoft Word",0,0
238889,14,"Writing",0,1
97514,14,"Grammar",0,0
68264,14,"English",0,0
156014,14,"Proofreading",0,0
73139,14,"European History",0,0
29264,14,"American History",0,0
165764,14,"Reading",0,1
34140,15,"Biology",0,0
43890,15,"Chemistry",0,0
43891,16,"Chemistry",0,1
68267,17,"English",0,0
73142,17,"European History",0,0
82892,17,"Geography",0,0
29267,17,"American History",0,0
234017,17,"World History",0,0
107267,17,"Literature",0,0
238892,17,"Writing",0,1
156018,18,"Proofreading",0,0
97518,18,"Grammar",0,0
165768,18,"Reading",0,0
68268,18,"English",0,0
219393,18,"TOEFL",0,0
48768,18,"ESL/ESOL",0,0
229143,18,"Vocabulary",0,0
78018,18,"GED",0,0
238893,18,"Writing",0,0
204769,19,"Spelling",0,0
165769,19,"Reading",0,1
63394,19,"Elementary Science",0,0
229144,19,"Vocabulary",0,1
53644,19,"Elementary (K-6th)",0,0
58519,19,"Elementary Math",0,0
14644,19,"ADD/ADHD",0,0
97519,19,"Grammar",0,1
63395,20,"Elementary Science",0,0
20,20,"ACT English",0,0
238895,20,"Writing",0,1
229145,20,"Vocabulary",0,1
34145,20,"Biology",0,0
170645,20,"Regents",0,0
19520,20,"Algebra 1",0,0
141395,20,"Prealgebra",0,0
156021,21,"Proofreading",0,1
214521,21,"Study Skills",0,0
180396,21,"SAT Reading",0,0
107271,21,"Literature",0,0
185271,21,"SAT Writing",0,1
68271,21,"English",0,0
229146,21,"Vocabulary",0,1
48771,21,"ESL/ESOL",0,0
97521,21,"Grammar",0,0
73147,22,"European History",0,0
82897,22,"Geography",0,0
214522,22,"Study Skills",0,0
204772,22,"Spelling",0,0
165772,22,"Reading",0,0
234022,22,"World History",0,1
68272,22,"English",0,0
92647,22,"Government & Politics",0,0
48772,22,"ESL/ESOL",0,0
219397,22,"TOEFL",0,1
238897,22,"Writing",0,1
107272,22,"Literature",0,0
229147,22,"Vocabulary",0,1
29272,22,"American History",0,0
97522,22,"Grammar",0,0
156022,22,"Proofreading",0,1
224273,23,"Trigonometry",0,1
136523,23,"Physics",0,1
23,23,"ACT English",0,0
63398,23,"Elementary Science",0,1
58523,23,"Elementary Math",0,0
9773,23,"ACT Reading",0,1
87773,23,"Geometry",0,0
175523,23,"SAT Math",0,1
121898,23,"Microsoft Word",0,1
141398,23,"Prealgebra",0,0
209648,23,"Statistics",0,1
4898,23,"ACT Math",0,0
19523,23,"Algebra 1",0,0
126773,23,"PSAT",0,0
24398,23,"Algebra 2",0,0
151148,23,"Probability",0,0
146273,23,"Precalculus",0,0
170648,23,"Regents",0,0
39023,23,"Calculus",0,0
126774,24,"PSAT",0,0
175524,24,"SAT Math",0,0
4899,24,"ACT Math",0,0
180399,24,"SAT Reading",0,0
24,24,"ACT English",0,0
185274,24,"SAT Writing",0,1
9774,24,"ACT Reading",0,0
43900,25,"Chemistry",0,0
78025,25,"GED",0,0
34150,25,"Biology",0,0
19525,25,"Algebra 1",0,0
73150,25,"European History",0,0
58525,25,"Elementary Math",0,0
97525,25,"Grammar",0,1
29275,25,"American History",0,0
126775,25,"PSAT",0,0
4900,25,"ACT Math",0,0
136525,25,"Physics",0,1
224275,25,"Trigonometry",0,1
87775,25,"Geometry",0,0
170650,25,"Regents",0,0
146275,25,"Precalculus",0,0
24400,25,"Algebra 2",0,0
39025,25,"Calculus",0,0
209650,25,"Statistics",0,1
234025,25,"World History",0,1
151150,25,"Probability",0,0
175525,25,"SAT Math",0,0
141400,25,"Prealgebra",0,0
92650,25,"Government & Politics",0,0
190150,25,"Social Studies",0,0
214526,26,"Study Skills",0,0
160901,26,"Public Speaking",0,0
234026,26,"World History",0,0
238901,26,"Writing",0,1
58526,26,"Elementary Math",0,0
53651,26,"Elementary (K-6th)",0,0
190151,26,"Social Studies",0,0
29276,26,"American History",0,0
131651,26,"Phonics",0,0
63401,26,"Elementary Science",0,0
204776,26,"Spelling",0,0
156026,26,"Proofreading",0,0
4901,26,"ACT Math",0,0
68276,26,"English",0,0
26,26,"ACT English",0,0
229151,26,"Vocabulary",0,0
126776,26,"PSAT",0,0
9776,26,"ACT Reading",0,0
165776,26,"Reading",0,0
185276,26,"SAT Writing",0,0
180401,26,"SAT Reading",0,0
107276,26,"Literature",0,0
175526,26,"SAT Math",0,0
92651,26,"Government & Politics",0,0
97526,26,"Grammar",0,0
102401,26,"Handwriting",0,0
73151,26,"European History",0,0
82901,26,"Geography",0,0
160902,27,"Public Speaking",0,0
229152,27,"Vocabulary",0,1
24402,27,"Algebra 2",0,0
156027,27,"Proofreading",0,0
165777,27,"Reading",0,0
175527,27,"SAT Math",0,1
185277,27,"SAT Writing",0,0
238902,27,"Writing",0,0
141402,27,"Prealgebra",0,0
107277,27,"Literature",0,0
97527,27,"Grammar",0,0
29277,27,"American History",0,0
